__sheet__,__page__,#,מה נדרש ממך,בחירה,מילוי,הערות אייל,סטטוס סעיף,הכרעה נדרשת מ,סיווג,הסעיף,סקשן אצל אייל,הכשל,התוכן הדרוש,התיקון,נתיב קוד,קישור,אפשרויות לבחירה,הערות סוכן,הערות נימרוד,תאריך הכרעה
עמוד · ספרים,R1-16,BK-02,—,,,,בוצע,—,ברור,"כרטיסי שלושת הספרים — בלי תג שהומצא, CTA ככתבו",SECTION 05 · 06 · 07,H2 «הספרים של מוזה»; meta «2001 · מסעות» / «2004 · פנטזיה» / «2017 · סיפורים אישיים»; CTA «לעמוד הספר ←».,בלי כותרת-גריד. בלי meta. כותרת+בלארב ככתבם. CTA: «לעמוד הספר צבע בכחול וזרוק לים» · «לעמוד הספר כושי בלאנטיס» · «לעמוד הספר וכתבת». href קנוני /books/<slug>/ (md /muzeh/… עושה 301).,הדבקת תוויות הקישור; מחיקת meta ו-title/chap של הגריד.,muzza-defaults.php bookcard items,http://eyalamit-co-il-2026.s887.upress.link/books/,,בוצע 18.8.26 ב-muzza-defaults.php בלבד. מדיה BK-04/05/06 לא נגעו.,,
עמוד · ספרים,R1-16,BK-03,—,,,,בוצע,—,ברור,"CTA חבילה אחד מ-SECTION 10, בלי קופסת GI",SECTION 10,H2+גוף כפולים על הכפתור; temp_note; pending-note «ממתין לאישור»; קישור פרוזה כפול. אף אחד לא במסמך.,[לרכישת חבילת 3 הספרים](https://mrng.to/MTUiO3vkIg) פעם אחת. 150 / ~~207~~ נשארים ב-SECTION 08.,cta בלי title/body/temp_note. מחיקת prose הכפול ו-pending-note. תקדים MTH-02.,muzza-defaults.php SECTION 10 cta + pending-note,http://eyalamit-co-il-2026.s887.upress.link/books/,,בוצע 18.8.26 ב-muzza-defaults.php בלבד. מדיה BK-04/05/06 לא נגעו.,,
עמוד · ספרים,R1-16,BK-04,בתמונת ההירו יש תמונת דלת דיג'רידו שלא במסמך. בחרי מה לעשות.,,,,בוצע,—,ברור,תמונת הירו,SECTION 02,Hero בגובה מסך בלי קובץ במסמך. כרגע logo-didgs-door.jpg (לא הוצאה לאור).,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה. הטקסט וה-CTA ל-#books-bundle נשארים.,muzza-defaults.php phero.media,http://eyalamit-co-il-2026.s887.upress.link/books/,להשאיר את התמונה הקיימת. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — נשארים H1 והכפתור.,טרקר←מציאות 21.8.26. אייל 19.8: להשאיר הירו. אפס PHP.,,
עמוד · ספרים,R1-16,BK-05,בשלושת כרטיסי הספרים יש עטיפות מהאתר בלי קובץ במסמך. בחרי מה לעשות.,,,,בוצע,—,ברור,עטיפות שלושת הספרים,SECTION 05 · 06 · 07,DEV NOTES מבקשים תמונת עטיפה בלי שם קובץ. כרגע tsva-bechol-cover.jpg / kushi-blantis-cover.jpg / vekatavt-cover.jpg.,להשאיר / להחליף (שמות קבצים או קישורים במילוי) / בלי עטיפות.,לפי הבחירה. כותרת+בלארב+קישור נשארים.,muzza-defaults.php bookcard items[].cover,http://eyalamit-co-il-2026.s887.upress.link/books/,להשאיר את שלוש העטיפות הקיימות. להחליף — הדביקו קבצים או קישורים בעמודת מילוי. בלי עטיפות — הכרטיס נשאר טקסט לחיץ.,טרקר←מציאות 21.8.26. אייל 19.8: להשאיר עטיפות. אפס PHP.,,
עמוד · ספרים,R1-16,BK-06,בבלוק החבילה המסמך מבקש תמונה של שלושת הספרים בלי קובץ. הדביקו קובץ או אמרו שאין תמונה.,,,,הוקפא,—,ברור,תמונת חבילת שלושת הספרים,SECTION 08,"DEV NOTES: לשלב תמונה של שלושת הספרים, בלי שם קובץ. לא רונדר רכיב תמונה (אין תוכן = אין רכיב).","קובץ או קישור, או «אין תמונה».",שיבוץ התמונה או השארת טקסט+מחיר כמו שהם.,muzza-defaults.php SECTION 08,http://eyalamit-co-il-2026.s887.upress.link/books/#books-bundle,"יש תמונה — הדביקו קישור או שם קובץ בעמודת מילוי. אין תמונה — נשארים הכותרת, 150 במקום 207, והפסקה.",גל 11: תמונת חבילה יישלח בהמשך. אפס PHP. הוקפא.,,
עמוד · בלוג,R1-20,BLG-01,—,,,,הוקפא,—,לא ברור,כרום ארכיון /blog/ — כותרת ופתיח,—,"אין תיקיית בלוג ב-content 13.8.26/, אין סקירה בלוג, אין md שמכסה את כותרת/פתיח הארכיון. הפתיח החי («מאמרים, תובנות וסיפורים…») hardcoded ב-tpl-chapters-blog-archive.php — לא מאייל. אין blog-defaults.php.",אין. בלי בייטים מאייל אין מה להדביק.,לא לבנות. לא ליצור blog-defaults.php. לא לערוך את התבנית.,"tpl-chapters-blog-archive.php (חי) · tpl-blog-archive.php (Wave2, לא מעטפת חיה)",http://eyalamit-co-il-2026.s887.upress.link/blog/,,הוקפא 2026-08-18. charter §2: חסר חומר → לא ממציאים. מנדט R1-20: ברירת גל הקפאה מנומקת אלא אם נמצא md לכותרת/פתיח — לא נמצא. סריקת Drive כולל «דפים שלא אונדקסו» ריקה מחומר בלוג. לא נפתח from-eyal/.,,
עמוד · בלוג,R1-20,BLG-02,—,,,,הוקפא,—,לא ברור,54 פוסטים בודדים,—,"ארכיון חי מציג 54 פוסטים (REST X-WP-Total=54, 12 לעמוד, 5 עמודי עימוד). אין חבילת אייל לפוסטים בסבב 1.","אין בסבב 1. פוסטים = סבב 2 (WP-S6-02), מחוץ לגל.",לא לערוך פוסטים. לא לפתוח singles בגל הזה.,post (WP) · tpl-chapters-blog-single.php / tpl-blog-single.php — לא לגעת,http://eyalamit-co-il-2026.s887.upress.link/blog/,,"הוקפא 2026-08-18. אמנה §4: סבב 2 נפתח רק בסגירת סבב 1. מנדט: «פוסטים בודדים = סבב 2, מחוץ לגל». 54 שורות פוסט כבר בטאב סבב-2 של הטרקר (R2-*). LSN-09 (404 הריון) נשאר ב-R1-04 ולא נפתח כאן.",,
עמוד · אייל עמית,R1-21,ABT-01,יש שלושה קבצי אודות חלוקים. בחר איזה מהם הוא המאסטר לעמוד.,,,,בוצע,—,ברור,קובץ מאסטר — שתי גרסאות באותו עמוד,כל העמוד · md FINAL · docx מאסטר · docx חדש מלא,"md, docx «סופי גרסת מאסטר» ו-docx «חדש מלא לאתר» חלוקים בניסוח, במבנה ובעובדות ביוגרפיות. בלי מאסטר אין בייטים להדבקה. אפס סעיפים ברור.",בחירת קובץ אחד (או הוראה אחרת בכתב). לא לבחור לפי שם הקובץ או לפי תאריך.,"שתי גרסאות באותו עמוד, אחת מתחת לשנייה: עליונה = md FINAL מילה-במילה; תחתונה = docx «חדש מלא לאתר» מילה-במילה (הצעת SEO של אייל, לא ניסוח שלנו). אייל בוחר ב-ABT-08.",about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,—,"נימרוד 18.8.26: להציג שתי אופציות באותו עמוד אחד מתחת לשני — אחד בדיוק לפי המידע מאייל, אחד הצעה משופרת SEO. ננעל: גרסה א׳ = אודות - אייל עמית.md · גרסה ב׳ = אייל_עמית_אודות_חדש_מלא_לאתר.docx. ה-docx מאסטר לא נבחר כמאסטר יחיד.",,
עמוד · אייל עמית,R1-21,ABT-02,בתמונות העמוד אין קובץ באף מסמך. בחרי מה לעשות.,,,,בוצע,—,ברור,תמונות העמוד,md DEV NOTES 04 · 05 · 07 · 09 · הירו החי,החי מציג 6 קבצי תמונה שכבר היו באתר. אף קובץ חומר לא נוקב בשם קובץ. md מציע «תמונת מוקש / הודו / גלריה / ספרים» בלי נכס.,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה — אחרי ABT-01.,about-defaults.php phero + split + reveals,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",גל 2 21.8.26. מקור: אייל עמית.xlsx D4 «להשאיר». תמונות קיימות נשארו. מדיה לשלב הבא. Composer PASS.,,
עמוד · אייל עמית,R1-21,ABT-03,—,,,,בוצע,—,ברור,שנת 2000 שהומצאה,אין · החי «כמה תחנות בדרך»,תג שנה 2000 הוצמד לפסקת מוקש. 1999 ו-2003 כן ב-md/מאסטר; 2000 לא באף אחד משלושת הקבצים. עובדה ביוגרפית בלי מקור מצוטט.,הורדה / השארה / שנה אחרת בכתב.,ציר הזמן עם תג 2000 אינו באף אחד משני המסמכים שננעלו — לא נכנס לגרסה החדשה (שתי הדבקות). לא מוחקים בשקט לפני ההחלפה.,about-defaults.php timeline items year=2000,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,להוריד את תג 2000 (ואת ציר הזמן — ראו ABT-04). להשאיר. לתת שנה אחרת בהערות.,נבלע ב-ABT-01/ABT-09. תג 2000 לא נכנס לשתי ההדבקות.,,
עמוד · אייל עמית,R1-21,ABT-04,—,,,,בוצע,—,ברור,בלוקים שהוספנו,אין כמבנה · md 01–13 / מאסטר כותרות רצף,"H1 עם em; כותרת-משנה «אודות»; ציר זמן «כמה תחנות בדרך»; גלריה עם כותרות שהומצאו (בניין הפסיפס, הגינה, הדיג׳רידו בסטודיו, פנים הסטודיו); המרכז פעמיים; מוקש בשלושה מקומות; כפתור «לעמוד הספרים — מוזה הוצאה לאור».",רשימת הורדות/השארות. תוספת שלנו שאינה במסמך = לא ברור (אמנה §2 אין-סקירה).,"נימרוד ביקש שתי גרסאות מסמך באותו עמוד — כרום צוות (em, ציר, גלריה ממציאה) לא נכנס. מוחלף ב-ABT-09.",about-defaults.php phero + split המרכז + timeline + split מוקש + reveals + כפתור ספרים,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,להוריד את כל התוספות ולהתאים למאסטר שייבחר. להשאיר חלק — פרטו בהערות. שתי גרסאות חיות רק אם נימרוד מבקש במפורש.,לא ברור גם כשהפער ברור. אין למחוק בלוק שיש לו גוף בלי הכרעה.,,
עמוד · אייל עמית,R1-21,ABT-05,מוזכר ערך ויקיפדיה בלי קישור. הדביקו כתובת או אמרו להשאיר בלי קישור.,,,,בוצע,—,ברור,קישור ויקיפדיה,"md SECTION 09 · מאסטר «ספרים, במה ותקשורת» · docx מלא «כתיבה, ספרים, במה וויקיפדיה»",שלושת הקבצים מזכירים ערך ותיק בוויקיפדיה. אף אחד לא נותן URL. בחי אין href.,"URL חי, או «בלי קישור».",לפי המילוי או הבחירה — אחרי ABT-01 (המשפט עשוי לרדת אם המאסטר אינו כולל אותו).,about-defaults.php בלוק ספרים,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,יש כתובת — הדביקו בעמודת מילוי. בלי קישור — נשאר אזכור הטקסט בלבד.,גל 2 21.8.26. מקור: אייל עמית.xlsx D5 URL ויקיפדיה עברית חי בגוף. Composer PASS.,,
עמוד · אייל עמית,R1-21,ABT-06,—,,,,בוצע,—,ברור,יעדי קישורים,md קישורים מפורשים · מאסטר רשימת «→ דף …» · docx מלא טבלת יעדים,"md: /muzeh · /learning · /tools-and-accessories · /mokesh-dahiman · /treatment (מחקר). החי: /books · /method (הכשרה) · /books (כלים — שגוי גם מול md) · /eyal-amit/mokesh-dahiman/ · /snoring-sleep-apnea/. מאסטר: בלי נתיב, רק «דף הספרים / דף ההכשרות / דף הדיג'רידו».",טבלת יעד לכל קישור אחרי ABT-01. לא להמציא slug.,מיפוי ניתוב בלבד (כמו R1-04): /muzeh→/books/ · /mokesh-dahiman→/eyal-amit/mokesh-dahiman/ · /tools-and-accessories→/shop/ · /learning→/learning/ · /treatment→/treatment/. לא ניסוח חדש.,about-defaults.php קישורים בגוף,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,לפי נתיבי ה-md. לפי הנתיבים החיים הקנוניים (/books/ /learning/ /eyal-amit/mokesh-dahiman/ /didgeridoos/ או /shop/). טבלה בהערות.,ננעל עם ABT-01: גרסה א׳ לפי קישורי ה-md עם ניתוב קנוני. גרסה ב׳ לפי טבלת היעדים ב-docx המלא אם יש נתיב קנוני; אחרת טקסט בלי href מומצא.,,
עמוד · אייל עמית,R1-21,ABT-07,—,,,,הוקפא,—,לא ברור,קישורים רק במאסטר,docx מאסטר · רשימת קישורים פנימיים,המאסטר מבקש «מופע הסיפורים → דף מופע הסיפורים» ו«דיג'רידו בעבודת יד → דף הדיג'רידו». אין ב-md כקישור נפרד (יש /tools-and-accessories בגוף 07). אין בdocx המלא את מופע הסיפורים כפריט. אין עמוד מופע בסבב 1.,להכניס / לא להכניס / URL בכתב. רלוונטי רק אם ABT-01 = docx מאסטר.,לפי הבחירה. אין תוכן = אין רכיב — לא לבנות כרטיס מופע ריק.,about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,לא להכניס. להכניס אחרי URL בעמודת מילוי. רלוונטי רק אם המאסטר הוא ה-docx «סופי גרסת מאסטר».,הוקפא 18.8.26: ABT-01 לא בחר ב-docx מאסטר. מופע הסיפורים לא נכנס.,,
עמוד · אייל עמית,R1-21,ABT-08,בעמוד יש שתי גרסאות אחת מתחת לשנייה. בחרי איזו נשארת.,,,,בוצע,—,ברור,בחירת גרסה,כל העמוד · גרסה א׳ md · גרסה ב׳ docx SEO,שני מסמכים מאייל חלוקים. נימרוד ביקש להציג את שתיהן באותו עמוד לבחירה.,גרסה א׳ / גרסה ב׳ / שתיהן נשארות.,לפי הבחירה. אחרי הבחירה הגרסה שנבחרה נשארת בנתיב הקנוני.,about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,גרסה א׳ (המסמך — הסיפור עם גבעתיים והשריפה). גרסה ב׳ (הצעת SEO). שתיהן נשארות בינתיים.,"גל 2 21.8.26. מקור: אייל עמית.xlsx E7 + אודות אייל עמית - סופי מאוחד.md. עמוד אחד, שתי הגרסאות ירדו. Composer PASS.",,
עמוד · אייל עמית,R1-21,ABT-09,—,,,,בוצע,—,ברור,הדבקת שתי הגרסאות באותו עמוד,md FINAL 01–13 · docx חדש מלא,"החי הוא כרום צוות (em, ציר 2000, גלריה) לא אחד המסמכים.",גרסה א׳ למעלה מ-md מילה-במילה עם תווית «גרסה א׳ — המסמך». גרסה ב׳ מתחת מ-docx המלא מילה-במילה עם תווית «גרסה ב׳ — הצעת SEO». H1 בלי em. ניתוב ABT-06. בלי בלוקי Schema/AI מה-docx אם הם הערות למתכנת ולא גוף עמוד.,החלפת about-defaults.php בשתי הדבקות מוערות provenance.,about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,,"בוצע 18.8.26 ב-about-defaults.php בלבד. שתי גרסאות באותו עמוד, לא compare=eyal. מדיה ABT-02 לאייל.",,
